Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
MS Gony,2008-2017,44,44,148.0,3,1287,37,3/31,34.78,8.69,24,0,0,
R Sharma,2010-2014,44,44,154.4,1,1086,40,3/13,27.15,7.02,23.2,0,0,
S Sreesanth,2008-2013,44,44,146.4,4,1190,40,3/29,29.75,8.11,22,0,0,
N Wadhera,2023-2026,44,2,2.5,0,22,0,-,-,7.76,-,0,0,
VG Arora,2022-2026,43,42,144.2,1,1406,47,3/27,29.91,9.74,18.4,0,0,
C Green,2023-2026,43,39,95.1,0,898,23,2/12,39.04,9.43,24.8,0,0,
TL Suman,2009-2013,43,11,25.0,0,197,6,2/14,32.83,7.88,25,0,0,
Yash Dayal,2022-2025,43,43,145.1,0,1390,41,3/20,33.9,9.57,21.2,0,0,
AB Agarkar,2008-2013,42,42,130.2,0,1151,29,3/25,39.68,8.83,26.9,0,0,
A Kumble,2008-2010,42,42,160.5,1,1058,45,5/5,23.51,6.57,21.4,2,1,
Mukesh Kumar,2023-2026,42,42,137.2,1,1455,42,4/33,34.64,10.59,19.6,1,0,
K Nitish Kumar Reddy,2023-2026,42,26,54.1,0,577,13,2/17,44.38,10.65,25,0,0,
PJ Sangwan,2008-2022,42,42,142.4,1,1240,38,3/18,32.63,8.69,22.5,0,0,
CA Lynn,2012-2021,42,-,-,-,-,-,-,-,-,-,-,-,
Gurkeerat Singh,2012-2020,41,6,13.0,0,97,5,2/15,19.4,7.46,15.6,0,0,
MK Lomror,2018-2024,40,11,15.0,0,127,1,1/22,127,8.46,90,0,0,
M Markande,2018-2026,40,40,125.0,0,1145,37,4/15,30.94,9.16,20.2,2,0,
R Powell,2022-2026,40,2,3.0,0,35,1,1/18,35,11.66,18,0,0,
GJ Bailey,2009-2016,40,-,-,-,-,-,-,-,-,-,-,-,
PD Salt,2023-2026,40,-,-,-,-,-,-,-,-,-,-,-,
NM Coulter-Nile,2013-2022,39,38,142.5,1,1100,48,4/14,22.91,7.7,17.8,2,0,
R Dhawan,2013-2024,39,36,110.2,1,891,25,2/14,35.64,8.07,26.4,0,0,
Ramandeep Singh,2022-2026,39,6,9.2,0,94,7,3/20,13.42,10.07,8,0,0,
Suyash Sharma,2023-2026,39,39,133.5,1,1190,27,3/17,44.07,8.89,29.7,0,0,
A Symonds,2008-2011,39,30,87.5,0,674,20,3/21,33.7,7.67,26.3,0,0,
MS Bisla,2010-2015,39,-,-,-,-,-,-,-,-,-,-,-,
S Aravind,2011-2017,38,38,126.4,0,1039,45,4/14,23.08,8.2,16.8,2,0,
B Lee,2008-2013,38,38,145.5,3,1095,25,3/15,43.8,7.5,35,0,0,
M Theekshana,2022-2025,38,38,146.0,1,1207,36,4/33,33.52,8.26,24.3,1,0,
RJ Harris,2009-2013,37,37,138.4,3,1047,45,4/34,23.26,7.55,18.4,1,0,
PW Hasaranga,2021-2025,37,37,133.0,1,1119,46,5/18,24.32,8.41,17.3,2,1,
Naman Dhir,2024-2026,37,5,8.4,0,76,0,-,-,8.76,-,0,0,
NLTC Perera,2010-2016,37,36,116.2,0,1016,31,3/20,32.77,8.73,22.5,0,0,
K Gowtham,2018-2024,36,35,98.0,1,808,21,2/12,38.47,8.24,28,0,0,
KP Pietersen,2009-2016,36,13,29.0,0,215,7,2/31,30.71,7.41,24.8,0,0,
HH Gibbs,2008-2012,36,-,-,-,-,-,-,-,-,-,-,-,
MJ Santner,2019-2026,35,35,114.3,0,860,30,3/11,28.66,7.51,22.9,0,0,
Abishek Porel,2023-2026,35,-,-,-,-,-,-,-,-,-,-,-,
A Raghuvanshi,2024-2026,35,-,-,-,-,-,-,-,-,-,-,-,
AP Tare,2010-2017,35,-,-,-,-,-,-,-,-,-,-,-,
J Botha,2009-2015,34,34,115.4,0,800,25,3/6,32,6.91,27.7,0,0,
Harshit Rana,2022-2025,34,32,108.1,1,1029,40,3/24,25.72,9.51,16.2,0,0,
CJ Jordan,2016-2023,34,34,111.2,1,1070,30,4/11,35.66,9.61,22.2,1,0,
Kartik Tyagi,2020-2026,34,33,121.2,0,1211,33,3/22,36.69,9.98,22,0,0,
NA Saini,2019-2026,34,33,112.4,1,1011,23,3/40,43.95,8.97,29.3,0,0,
R Sathish,2010-2016,34,14,23.1,0,232,3,1/11,77.33,10.01,46.3,0,0,
DL Vettori,2008-2012,34,34,129.3,0,879,28,3/15,31.39,6.78,27.7,0,0,
P Awana,2012-2014,33,33,124.3,2,1029,39,4/34,26.38,8.26,19.1,1,0,
Bipul Sharma,2010-2017,33,28,71.0,0,572,17,2/13,33.64,8.05,25,0,0,
WD Parnell,2011-2023,33,33,120.3,1,937,35,3/10,26.77,7.77,20.6,0,0,
M Pathirana,2022-2026,33,33,118.2,0,1025,47,4/28,21.8,8.66,15.1,1,0,
R Shepherd,2022-2026,33,28,60.0,0,706,17,3/54,41.52,11.76,21.1,0,0,
PV Tambe,2013-2016,33,33,110.0,0,853,28,4/20,30.46,7.75,23.5,1,0,
DB Ravi Teja,2008-2013,32,2,3.0,0,28,1,1/19,28,9.33,18,0,0,
Shivam Mavi,2018-2022,32,32,108.1,2,942,30,4/21,31.4,8.7,21.6,1,0,
ML Hayden,2008-2010,32,-,-,-,-,-,-,-,-,-,-,-,
AR Sharma,2024-2026,32,-,-,-,-,-,-,-,-,-,-,-,
A Ashish Reddy,2012-2016,31,20,43.4,0,396,18,3/25,22,9.06,14.5,0,0,
Mohsin Khan,2022-2026,31,30,109.0,5,917,38,5/23,24.13,8.41,17.2,1,1,
SE Rutherford,2019-2026,31,6,6.5,0,59,1,1/6,59,8.63,41,0,0,
MV Boucher,2008-2011,31,-,-,-,-,-,-,-,-,-,-,-,
DB Das,2008-2013,31,-,-,-,-,-,-,-,-,-,-,-,
SP Goswami,2008-2020,31,-,-,-,-,-,-,-,-,-,-,-,
CJ Anderson,2014-2018,30,22,49.3,0,518,11,2/18,47.09,10.46,27,0,0,
ST Jayasuriya,2008-2010,30,21,49.0,1,390,13,3/14,30,7.95,22.6,0,0,
AJ Tye,2017-2022,30,30,114.0,0,979,42,5/17,23.3,8.58,16.2,3,1,
P Arya,2025-2026,30,-,-,-,-,-,-,-,-,-,-,-,
SW Billings,2016-2022,30,-,-,-,-,-,-,-,-,-,-,-,
CA Pujara,2010-2014,30,-,-,-,-,-,-,-,-,-,-,-,
AL Menaria,2011-2013,29,12,18.2,0,144,3,2/20,48,7.85,36.6,0,0,
DP Nannes,2009-2013,29,29,107.3,1,785,28,3/27,28.03,7.3,23,0,0,
AS Rajpoot,2013-2020,29,29,88.1,1,814,24,5/14,33.91,9.23,22,0,1,
JD Ryder,2009-2012,29,16,39.2,1,303,8,2/14,37.87,7.7,29.5,0,0,
LMP Simmons,2014-2017,29,1,3.0,0,34,1,1/34,34,11.33,18,0,0,
RN ten Doeschate,2011-2015,29,10,13.0,0,94,2,1/7,47,7.23,39,0,0,
DP Conway,2022-2025,29,-,-,-,-,-,-,-,-,-,-,-,
M Kaif,2008-2012,29,-,-,-,-,-,-,-,-,-,-,-,
GC Smith,2008-2011,29,-,-,-,-,-,-,-,-,-,-,-,
WG Jacks,2024-2026,28,19,31.5,0,314,10,2/14,31.4,9.86,19.1,0,0,
L Ngidi,2018-2026,28,27,103.2,2,869,42,4/10,20.69,8.4,14.7,1,0,
R Sai Kishore,2022-2026,28,27,77.3,0,697,33,4/33,21.12,8.99,14,1,0,
Arshad Khan,2023-2026,27,25,62.4,0,693,18,3/22,38.5,11.05,20.8,0,0,
DE Bollinger,2010-2012,27,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0,
D Brevis,2022-2026,27,1,0.3,0,8,1,1/8,8,16,3,0,0,
Harmeet Singh,2009-2013,27,27,87.3,0,697,26,3/24,26.8,7.96,20.1,0,0,
RR Powar,2008-2012,27,26,71.0,0,527,13,2/11,40.53,7.42,32.7,0,0,
Lalit Yadav,2021-2024,27,19,48.0,0,425,10,2/11,42.5,8.85,28.8,0,0,
E Lewis,2018-2022,27,-,-,-,-,-,-,-,-,-,-,-,
A Manohar,2022-2025,27,-,-,-,-,-,-,-,-,-,-,-,
Y Nagar,2009-2012,26,8,11.0,0,125,4,2/20,31.25,11.36,16.5,0,0,
AS Roy,2019-2026,26,22,53.5,0,479,15,2/19,31.93,8.89,21.5,0,0,
Umran Malik,2021-2024,26,26,82.1,1,772,29,5/25,26.62,9.39,17,1,1,
V Vyshak,2023-2026,26,25,86.3,0,906,26,3/20,34.84,10.47,19.9,0,0,
RD Rickelton,2025-2026,26,-,-,-,-,-,-,-,-,-,-,-,
Basil Thampi,2017-2022,25,25,86.5,1,846,22,3/29,38.45,9.74,23.6,0,0,
KK Cooper,2012-2014,25,25,96.0,1,757,33,4/26,22.93,7.88,17.4,1,0,
C de Grandhomme,2017-2019,25,19,36.0,0,319,6,3/4,53.16,8.86,36,0,0,
A Kamboj,2024-2026,25,25,81.5,0,816,31,3/13,26.32,9.97,15.8,0,0,
IC Pandey,2013-2015,25,24,77.0,4,591,18,2/23,32.83,7.67,25.6,0,0,
Rasikh Salam,2019-2026,25,25,81.2,1,814,29,4/24,28.06,10,16.8,1,0,
DH Yagnik,2011-2014,25,-,-,-,-,-,-,-,-,-,-,-,
RS Bopara,2009-2015,24,14,34.2,0,292,11,3/31,26.54,8.5,18.7,0,0,
Mohammad Nabi,2017-2024,24,23,69.3,0,517,15,4/11,34.46,7.43,27.8,1,0,
Mukesh Choudhary,2022-2026,24,24,80.3,0,771,25,4/46,30.84,9.57,19.3,1,0,
BB Sran,2015-2019,24,24,80.3,0,757,18,3/28,42.05,9.4,26.8,0,0,
GH Vihari,2013-2019,24,6,7.0,0,47,1,1/5,47,6.71,42,0,0,
Anuj Rawat,2021-2024,24,-,-,-,-,-,-,-,-,-,-,-,
Sameer Rizvi,2024-2026,24,-,-,-,-,-,-,-,-,-,-,-,
AU Verma,2025-2026,24,-,-,-,-,-,-,-,-,-,-,-,
Anureet Singh,2009-2018,23,22,68.4,0,623,18,3/23,34.61,9.07,22.8,0,0,
Azhar Mahmood,2012-2015,23,23,89.3,0,700,29,3/20,24.13,7.82,18.5,0,0,
B Chipli,2008-2013,23,1,1.0,0,20,0,-,-,20,-,0,0,
DS Rathi,2025-2026,23,23,91.0,0,826,19,2/30,43.47,9.07,28.7,0,0,
A Singh,2009-2012,23,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0,
PC Valthaty,2009-2013,23,10,25.1,0,205,7,4/29,29.28,8.14,21.5,1,0,
PK Garg,2020-2023,23,-,-,-,-,-,-,-,-,-,-,-,
OA Shah,2010-2013,23,-,-,-,-,-,-,-,-,-,-,-,
V Sooryavanshi,2025-2026,23,-,-,-,-,-,-,-,-,-,-,-,
Ankit Sharma,2012-2018,22,21,61.1,0,450,12,2/20,37.5,7.35,30.5,0,0,
K Goel,2008-2010,22,6,11.0,0,93,0,-,-,8.45,-,0,0,
AS Joseph,2019-2024,22,22,72.2,1,691,21,6/12,32.9,9.55,20.6,0,1,
E Malinga,2025-2026,22,22,81.0,0,745,33,4/32,22.57,9.19,14.7,1,0,
