Player,Country,Role,Auction_Team,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,HS_NotOut,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Base_Price_Lakh,Auction_Price_Lakh,Auction_Price_Cr,log_Auction_Price,Price_Multiplier,Runs_per_Inns,Wkts_per_Mat,Boundary_Rate,Bowling_Contribution,Has_Batting,Has_Bowling,Is_Overseas,Low_Sample,Origin,Impact_Innings,Haul_Innings,Batting_Score,Bowling_Score,Overall_Score,Performance_Tier,Cluster_Id,Value_Cluster,Value_Gap
G Coetzee,South Africa,All-rounder,Gujarat Titans,2024-2025,14,7,1,31,12.0,False,5.16,33,93.93,0,0,1,2,2,14,45.3,0,472,15,Apr-34,31.46,10.37,18.2,1,0,125,240,2.4,5.480638923341991,1.92,4.428571428571429,1.0714285714285714,0.1212121212121212,3.2357142857142853,True,True,1,0,Overseas,0,1,-0.5127546741215059,0.0944794011682392,-0.2394993402411206,Low,2,Fair-value Mid-market,-0.87
GD Phillips,New Zealand,All-rounder,Gujarat Titans,2021-2026,14,13,2,132,25.0,False,12.0,109,121.1,0,0,1,7,8,4,5.0,0,40,2,01-Oct,20.0,8.0,15.0,0,0,200,200,2.0,5.298317366548036,1.0,10.153846153846152,0.1428571428571428,0.1376146788990825,0.3571428571428571,True,True,1,0,Overseas,0,0,-0.2169722413919353,-0.3002394458516197,-0.2544424833987934,Low,2,Fair-value Mid-market,-0.751
GJ Maxwell,Australia,All-rounder,Punjab Kings,2012-2025,141,135,17,2819,95.0,False,23.88,1817,155.14,0,18,19,237,161,85,170.2,1,1413,41,Feb-15,34.46,8.29,24.9,0,0,200,420,4.2,6.040254711277414,2.1,20.881481481481483,0.2907801418439716,0.2190423775454045,1.20709219858156,True,True,1,0,Overseas,18,0,1.1923112416320936,-0.1293194242654666,0.5975774419781915,High,3,High-performing but Expensive,-0.1
Gurjapneet Singh,India,Bowler,Chennai Super Kings,2026-2026,8,0,0,0,,False,,0,,0,0,0,0,0,8,25.1,0,233,4,01-Jul,58.25,9.25,37.7,0,0,30,220,2.2,5.393627546352362,7.333333333333333,,0.5,,3.1375,False,True,0,1,India,0,0,,-0.5445296156103748,-0.5445296156103748,Low,2,Fair-value Mid-market,-1.24
Gurnoor Brar,India,Bowler,Gujarat Titans,2023-2023,1,0,0,0,,False,,0,,0,0,0,0,0,1,3.0,0,42,0,,,14.0,,0,0,30,130,1.3,4.867534450455582,4.333333333333333,,0.0,,3.0,False,True,0,1,India,0,0,,-1.073755990560335,-1.073755990560335,Low,1,Low-cost / Low-impact,-1.594
HC Brook,England,Batter,Delhi Capitals,2023-2023,11,11,2,190,100.0,True,21.11,154,123.37,1,0,3,23,4,0,0.0,0,0,0,,,,,0,0,200,625,6.25,6.437751649736401,3.125,17.272727272727273,0.0,0.1753246753246753,0.0,True,False,1,0,Overseas,1,0,0.0429940477490099,,0.0429940477490099,Medium,3,High-performing but Expensive,-1.2
HV Patel,India,Bowler,Sunrisers Hyderabad,2012-2026,124,49,17,280,36.0,True,8.75,238,117.64,0,0,10,18,15,121,417.4,2,3727,151,May-27,24.68,8.92,16.5,4,1,200,800,8.0,6.684611727667927,4.0,5.714285714285714,1.217741935483871,0.1386554621848739,3.366129032258064,True,True,0,0,India,0,5,-0.2990907881336684,1.4902119857142648,1.2218165696370746,High,0,Undervalued / High-value,0.299
Harpreet Brar,India,Bowler,Punjab Kings,2019-2026,51,27,15,249,29.0,False,20.75,206,120.87,0,0,1,20,10,48,143.1,1,1145,37,Apr-30,30.94,7.99,23.2,1,0,30,150,1.5,5.010635294096256,5.0,9.22222222222222,0.7254901960784313,0.145631067961165,2.8058823529411763,True,True,0,0,India,0,1,-0.1994674824219369,0.2038272653586,0.1433330531915194,Medium,2,Fair-value Mid-market,0.04
Himmat Singh,India,Batter,Lucknow Super Giants,2025-2026,9,5,2,92,40.0,True,30.66,69,133.33,0,0,0,5,5,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,18.4,0.0,0.144927536231884,0.0,True,False,0,1,India,0,0,0.0317994688729835,,0.0317994688729835,Medium,1,Low-cost / Low-impact,1.117
I Sharma,India,Bowler,Gujarat Titans,2008-2025,117,28,22,57,10.0,True,9.5,69,82.6,0,0,1,4,2,117,403.1,6,3377,96,05-Dec,35.17,8.37,25.1,0,1,75,75,0.75,4.31748811353631,1.0,2.0357142857142856,0.8205128205128205,0.0869565217391304,3.445299145299145,True,True,0,0,India,0,1,-0.6560078176193984,0.5678648222030216,0.3842839262296585,High,2,Fair-value Mid-market,0.918
